Complaint,Category,Subcategory,Priority
There is an issue with the epidemic concerns,Health and Safety,Epidemic Concerns,Critical
There is an issue with the epidemic concerns Needs quick inspection.,Health and Safety,Epidemic Concerns,High
The epidemic concerns is not working Please fix it.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns has minor problems Might be dangerous.,Health and Safety,Epidemic Concerns,Critical
I saw a small problem in the epidemic concerns Needs attention.,Health and Safety,Epidemic Concerns,High
The epidemic concerns needs attention Needs attention.,Health and Safety,Epidemic Concerns,High
I saw a small problem in the epidemic concerns Not working as it should.,Health and Safety,Epidemic Concerns,Medium
Reported a minor issue in epidemic concerns Might be dangerous.,Health and Safety,Epidemic Concerns,Critical
The epidemic concerns is not working Needs quick inspection.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns is slightly malfunctioning,Health and Safety,Epidemic Concerns,Critical
The epidemic concerns is not working Needs urgent review.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns has minor problems Urgent check needed.,Health and Safety,Epidemic Concerns,High
Epidemic Concerns is not functioning well.,Health and Safety,Epidemic Concerns,High
Reported a minor issue in epidemic concerns Urgent check needed.,Health and Safety,Epidemic Concerns,High
There is an issue with the epidemic concerns Please fix it.,Health and Safety,Epidemic Concerns,Critical
Reported a minor issue in epidemic concerns Needs quick inspection.,Health and Safety,Epidemic Concerns,Critical
I saw a small problem in the epidemic concerns Can someone check?,Health and Safety,Epidemic Concerns,High
Epidemic Concerns is not functioning well Needs urgent review.,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns seems broken,Health and Safety,Epidemic Concerns,High
The epidemic concerns is not working Needs attention.,Health and Safety,Epidemic Concerns,Critical
The epidemic concerns needs attention Needs urgent review.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns seems broken Might be dangerous.,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns has minor problems Needs attention.,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns is slightly malfunctioning.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns is slightly malfunctioning Urgent check needed.,Health and Safety,Epidemic Concerns,Low
The epidemic concerns is not working Not working as it should.,Health and Safety,Epidemic Concerns,Critical
Reported a minor issue in epidemic concerns Not working as it should.,Health and Safety,Epidemic Concerns,High
Something isn't right with the epidemic concerns,Health and Safety,Epidemic Concerns,Critical
Something isn't right with the epidemic concerns.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns is not functioning well Needs quick inspection.,Health and Safety,Epidemic Concerns,Medium
The epidemic concerns needs attention Not working as it should.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns has minor problems.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns is not functioning well,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns is not functioning well Please fix it.,Health and Safety,Epidemic Concerns,Critical
Reported a minor issue in epidemic concerns,Health and Safety,Epidemic Concerns,Low
The epidemic concerns is not working,Health and Safety,Epidemic Concerns,Low
There is an issue with the epidemic concerns Might be dangerous.,Health and Safety,Epidemic Concerns,Low
The epidemic concerns needs attention.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns is slightly malfunctioning Can someone check?,Health and Safety,Epidemic Concerns,Low
Reported a minor issue in epidemic concerns Needs attention.,Health and Safety,Epidemic Concerns,Critical
I saw a small problem in the epidemic concerns.,Health and Safety,Epidemic Concerns,Medium
The epidemic concerns is not working Urgent check needed.,Health and Safety,Epidemic Concerns,Low
Something isn't right with the epidemic concerns Please fix it.,Health and Safety,Epidemic Concerns,Low
Reported a minor issue in epidemic concerns Can someone check?,Health and Safety,Epidemic Concerns,High
I saw a small problem in the epidemic concerns Please fix it.,Health and Safety,Epidemic Concerns,Medium
The epidemic concerns is not working.,Health and Safety,Epidemic Concerns,Medium
There is an issue with the epidemic concerns Can someone check?,Health and Safety,Epidemic Concerns,Critical
I saw a small problem in the epidemic concerns,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns seems broken Can someone check?,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns seems broken Needs quick inspection.,Health and Safety,Epidemic Concerns,Critical
Something isn't right with the epidemic concerns Needs quick inspection.,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns is slightly malfunctioning Might be dangerous.,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns is slightly malfunctioning Needs quick inspection.,Health and Safety,Epidemic Concerns,Medium
Reported a minor issue in epidemic concerns Please fix it.,Health and Safety,Epidemic Concerns,Critical
The epidemic concerns is not working Can someone check?,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns is not functioning well Not working as it should.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns seems broken Urgent check needed.,Health and Safety,Epidemic Concerns,High
Epidemic Concerns seems broken.,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns is slightly malfunctioning Needs urgent review.,Health and Safety,Epidemic Concerns,Low
Something isn't right with the epidemic concerns Can someone check?,Health and Safety,Epidemic Concerns,Critical
Something isn't right with the epidemic concerns Needs urgent review.,Health and Safety,Epidemic Concerns,Medium
Reported a minor issue in epidemic concerns.,Health and Safety,Epidemic Concerns,High
The epidemic concerns needs attention,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns seems broken Please fix it.,Health and Safety,Epidemic Concerns,Critical
I saw a small problem in the epidemic concerns Needs urgent review.,Health and Safety,Epidemic Concerns,High
The epidemic concerns needs attention Urgent check needed.,Health and Safety,Epidemic Concerns,High
Something isn't right with the epidemic concerns Needs attention.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns has minor problems Can someone check?,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns seems broken Not working as it should.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns has minor problems Needs quick inspection.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns has minor problems,Health and Safety,Epidemic Concerns,Medium
There is an issue with the epidemic concerns.,Health and Safety,Epidemic Concerns,High
The epidemic concerns needs attention Please fix it.,Health and Safety,Epidemic Concerns,High
The epidemic concerns needs attention Might be dangerous.,Health and Safety,Epidemic Concerns,Critical
I saw a small problem in the epidemic concerns Urgent check needed.,Health and Safety,Epidemic Concerns,Critical
There is an issue with the epidemic concerns Not working as it should.,Health and Safety,Epidemic Concerns,Medium
Reported a minor issue in epidemic concerns Needs urgent review.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns is slightly malfunctioning Not working as it should.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns is slightly malfunctioning Needs attention.,Health and Safety,Epidemic Concerns,Low
Epidemic Concerns is not functioning well Needs attention.,Health and Safety,Epidemic Concerns,Low
There is an issue with the epidemic concerns Needs urgent review.,Health and Safety,Epidemic Concerns,Medium
The epidemic concerns needs attention Can someone check?,Health and Safety,Epidemic Concerns,Low
There is an issue with the epidemic concerns Urgent check needed.,Health and Safety,Epidemic Concerns,Critical
I saw a small problem in the epidemic concerns Needs quick inspection.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns seems broken Needs urgent review.,Health and Safety,Epidemic Concerns,Critical
Epidemic Concerns has minor problems Please fix it.,Health and Safety,Epidemic Concerns,Medium
Epidemic Concerns has minor problems Not working as it should.,Health and Safety,Epidemic Concerns,Low
Emergency Services Issues is slightly malfunctioning Needs attention.,Health and Safety,Emergency Services Issues,Critical
Something isn't right with the emergency services issues Needs urgent review.,Health and Safety,Emergency Services Issues,Medium
There is an issue with the emergency services issues Urgent check needed.,Health and Safety,Emergency Services Issues,High
Emergency Services Issues is not functioning well Needs attention.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues seems broken Needs attention.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is not functioning well Needs urgent review.,Health and Safety,Emergency Services Issues,High
Reported a minor issue in emergency services issues Needs urgent review.,Health and Safety,Emergency Services Issues,Critical
Reported a minor issue in emergency services issues Might be dangerous.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues has minor problems Not working as it should.,Health and Safety,Emergency Services Issues,Low
Something isn't right with the emergency services issues.,Health and Safety,Emergency Services Issues,Medium
Emergency Services Issues is slightly malfunctioning Needs urgent review.,Health and Safety,Emergency Services Issues,Critical
Emergency Services Issues has minor problems Might be dangerous.,Health and Safety,Emergency Services Issues,Medium
The emergency services issues is not working Might be dangerous.,Health and Safety,Emergency Services Issues,Medium
Emergency Services Issues is slightly malfunctioning Might be dangerous.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is slightly malfunctioning Please fix it.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is slightly malfunctioning Can someone check?,Health and Safety,Emergency Services Issues,Medium
Emergency Services Issues is not functioning well,Health and Safety,Emergency Services Issues,Critical
The emergency services issues needs attention Needs attention.,Health and Safety,Emergency Services Issues,High
The emergency services issues needs attention Needs urgent review.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues seems broken Can someone check?,Health and Safety,Emergency Services Issues,Medium
There is an issue with the emergency services issues.,Health and Safety,Emergency Services Issues,High
There is an issue with the emergency services issues Might be dangerous.,Health and Safety,Emergency Services Issues,Low
The emergency services issues needs attention Can someone check?,Health and Safety,Emergency Services Issues,Low
The emergency services issues needs attention Please fix it.,Health and Safety,Emergency Services Issues,Low
The emergency services issues is not working Please fix it.,Health and Safety,Emergency Services Issues,High
I saw a small problem in the emergency services issues Please fix it.,Health and Safety,Emergency Services Issues,Critical
Something isn't right with the emergency services issues Urgent check needed.,Health and Safety,Emergency Services Issues,High
I saw a small problem in the emergency services issues Might be dangerous.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is slightly malfunctioning Not working as it should.,Health and Safety,Emergency Services Issues,Medium
The emergency services issues is not working Needs quick inspection.,Health and Safety,Emergency Services Issues,Critical
Emergency Services Issues seems broken Needs urgent review.,Health and Safety,Emergency Services Issues,Low
I saw a small problem in the emergency services issues Not working as it should.,Health and Safety,Emergency Services Issues,Low
I saw a small problem in the emergency services issues,Health and Safety,Emergency Services Issues,Medium
Reported a minor issue in emergency services issues,Health and Safety,Emergency Services Issues,Critical
The emergency services issues is not working Needs attention.,Health and Safety,Emergency Services Issues,High
There is an issue with the emergency services issues Please fix it.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is not functioning well Not working as it should.,Health and Safety,Emergency Services Issues,Critical
Emergency Services Issues has minor problems Can someone check?,Health and Safety,Emergency Services Issues,Critical
Something isn't right with the emergency services issues,Health and Safety,Emergency Services Issues,Medium
There is an issue with the emergency services issues Needs urgent review.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues seems broken,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is not functioning well.,Health and Safety,Emergency Services Issues,Critical
Reported a minor issue in emergency services issues.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues has minor problems Needs urgent review.,Health and Safety,Emergency Services Issues,Critical
Something isn't right with the emergency services issues Needs attention.,Health and Safety,Emergency Services Issues,High
Emergency Services Issues is not functioning well Can someone check?,Health and Safety,Emergency Services Issues,Low
The emergency services issues is not working,Health and Safety,Emergency Services Issues,Medium
The emergency services issues needs attention Not working as it should.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is slightly malfunctioning.,Health and Safety,Emergency Services Issues,Medium
I saw a small problem in the emergency services issues Can someone check?,Health and Safety,Emergency Services Issues,High
Reported a minor issue in emergency services issues Urgent check needed.,Health and Safety,Emergency Services Issues,Critical
Emergency Services Issues is slightly malfunctioning Urgent check needed.,Health and Safety,Emergency Services Issues,Low
Reported a minor issue in emergency services issues Not working as it should.,Health and Safety,Emergency Services Issues,High
There is an issue with the emergency services issues Needs attention.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is not functioning well Needs quick inspection.,Health and Safety,Emergency Services Issues,High
Something isn't right with the emergency services issues Needs quick inspection.,Health and Safety,Emergency Services Issues,High
Emergency Services Issues seems broken Urgent check needed.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues seems broken Needs quick inspection.,Health and Safety,Emergency Services Issues,High
Emergency Services Issues has minor problems Please fix it.,Health and Safety,Emergency Services Issues,High
There is an issue with the emergency services issues Not working as it should.,Health and Safety,Emergency Services Issues,High
Emergency Services Issues seems broken Might be dangerous.,Health and Safety,Emergency Services Issues,High
There is an issue with the emergency services issues Needs quick inspection.,Health and Safety,Emergency Services Issues,Medium
Emergency Services Issues is not functioning well Please fix it.,Health and Safety,Emergency Services Issues,Critical
I saw a small problem in the emergency services issues.,Health and Safety,Emergency Services Issues,High
The emergency services issues is not working Can someone check?,Health and Safety,Emergency Services Issues,Low
I saw a small problem in the emergency services issues Needs quick inspection.,Health and Safety,Emergency Services Issues,Critical
Emergency Services Issues seems broken Please fix it.,Health and Safety,Emergency Services Issues,Critical
I saw a small problem in the emergency services issues Needs urgent review.,Health and Safety,Emergency Services Issues,Medium
There is an issue with the emergency services issues,Health and Safety,Emergency Services Issues,Critical
The emergency services issues is not working.,Health and Safety,Emergency Services Issues,Low
Reported a minor issue in emergency services issues Needs attention.,Health and Safety,Emergency Services Issues,Medium
The emergency services issues is not working Needs urgent review.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues has minor problems Needs attention.,Health and Safety,Emergency Services Issues,Low
The emergency services issues needs attention,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is not functioning well Urgent check needed.,Health and Safety,Emergency Services Issues,Medium
Reported a minor issue in emergency services issues Can someone check?,Health and Safety,Emergency Services Issues,Critical
Emergency Services Issues has minor problems Needs quick inspection.,Health and Safety,Emergency Services Issues,Low
Something isn't right with the emergency services issues Not working as it should.,Health and Safety,Emergency Services Issues,Medium
I saw a small problem in the emergency services issues Needs attention.,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is not functioning well Might be dangerous.,Health and Safety,Emergency Services Issues,Critical
Something isn't right with the emergency services issues Might be dangerous.,Health and Safety,Emergency Services Issues,High
Emergency Services Issues seems broken Not working as it should.,Health and Safety,Emergency Services Issues,High
The emergency services issues needs attention Urgent check needed.,Health and Safety,Emergency Services Issues,Critical
Something isn't right with the emergency services issues Can someone check?,Health and Safety,Emergency Services Issues,Low
I saw a small problem in the emergency services issues Urgent check needed.,Health and Safety,Emergency Services Issues,Critical
There is an issue with the emergency services issues Can someone check?,Health and Safety,Emergency Services Issues,Low
Emergency Services Issues is slightly malfunctioning,Health and Safety,Emergency Services Issues,High
Emergency Services Issues has minor problems Urgent check needed.,Health and Safety,Emergency Services Issues,Critical
Something isn't right with the emergency services issues Please fix it.,Health and Safety,Emergency Services Issues,High
The emergency services issues needs attention.,Health and Safety,Emergency Services Issues,Low
The emergency services issues is not working Not working as it should.,Health and Safety,Emergency Services Issues,Critical
Emergency Services Issues seems broken.,Health and Safety,Emergency Services Issues,Medium
Reported a minor issue in emergency services issues Needs quick inspection.,Health and Safety,Emergency Services Issues,Medium
Emergency Services Issues has minor problems,Health and Safety,Emergency Services Issues,High
Emergency Services Issues has minor problems.,Health and Safety,Emergency Services Issues,Medium
The emergency services issues needs attention Needs quick inspection.,Health and Safety,Emergency Services Issues,Critical
Emergency Services Issues is slightly malfunctioning Needs quick inspection.,Health and Safety,Emergency Services Issues,Medium
The emergency services issues is not working Urgent check needed.,Health and Safety,Emergency Services Issues,Low
The emergency services issues needs attention Might be dangerous.,Health and Safety,Emergency Services Issues,Medium
Reported a minor issue in emergency services issues Please fix it.,Health and Safety,Emergency Services Issues,Critical
Event Coordination Issues has minor problems Might be dangerous.,Public Events,Event Coordination Issues,Low
Event Coordination Issues seems broken Needs quick inspection.,Public Events,Event Coordination Issues,High
Event Coordination Issues is slightly malfunctioning Needs attention.,Public Events,Event Coordination Issues,Critical
There is an issue with the event coordination issues Urgent check needed.,Public Events,Event Coordination Issues,Low
Something isn't right with the event coordination issues Needs quick inspection.,Public Events,Event Coordination Issues,High
There is an issue with the event coordination issues Might be dangerous.,Public Events,Event Coordination Issues,High
Event Coordination Issues seems broken,Public Events,Event Coordination Issues,Critical
Event Coordination Issues is not functioning well Not working as it should.,Public Events,Event Coordination Issues,High
Event Coordination Issues is not functioning well Needs urgent review.,Public Events,Event Coordination Issues,Low
I saw a small problem in the event coordination issues,Public Events,Event Coordination Issues,Low
Event Coordination Issues is slightly malfunctioning Needs urgent review.,Public Events,Event Coordination Issues,Medium
Event Coordination Issues seems broken Can someone check?,Public Events,Event Coordination Issues,Critical
Event Coordination Issues is slightly malfunctioning Might be dangerous.,Public Events,Event Coordination Issues,Low
Event Coordination Issues is not functioning well Needs attention.,Public Events,Event Coordination Issues,Low
Event Coordination Issues has minor problems Needs attention.,Public Events,Event Coordination Issues,Medium
The event coordination issues is not working.,Public Events,Event Coordination Issues,Critical
The event coordination issues needs attention Urgent check needed.,Public Events,Event Coordination Issues,High
I saw a small problem in the event coordination issues.,Public Events,Event Coordination Issues,High
The event coordination issues is not working Can someone check?,Public Events,Event Coordination Issues,Medium
Reported a minor issue in event coordination issues Please fix it.,Public Events,Event Coordination Issues,High
Event Coordination Issues is slightly malfunctioning Needs quick inspection.,Public Events,Event Coordination Issues,Critical
Event Coordination Issues has minor problems Please fix it.,Public Events,Event Coordination Issues,Medium
The event coordination issues needs attention Needs attention.,Public Events,Event Coordination Issues,Low
The event coordination issues needs attention Can someone check?,Public Events,Event Coordination Issues,Medium
Event Coordination Issues seems broken.,Public Events,Event Coordination Issues,High
Event Coordination Issues is slightly malfunctioning Not working as it should.,Public Events,Event Coordination Issues,High
The event coordination issues is not working Needs quick inspection.,Public Events,Event Coordination Issues,Critical
Event Coordination Issues has minor problems,Public Events,Event Coordination Issues,High
Something isn't right with the event coordination issues Needs attention.,Public Events,Event Coordination Issues,High
Event Coordination Issues is not functioning well Might be dangerous.,Public Events,Event Coordination Issues,Critical
The event coordination issues is not working Not working as it should.,Public Events,Event Coordination Issues,High
There is an issue with the event coordination issues Please fix it.,Public Events,Event Coordination Issues,Low
There is an issue with the event coordination issues Needs attention.,Public Events,Event Coordination Issues,Critical
The event coordination issues is not working Please fix it.,Public Events,Event Coordination Issues,Critical
The event coordination issues needs attention Needs quick inspection.,Public Events,Event Coordination Issues,Medium
There is an issue with the event coordination issues,Public Events,Event Coordination Issues,Medium
I saw a small problem in the event coordination issues Not working as it should.,Public Events,Event Coordination Issues,Low
Reported a minor issue in event coordination issues Needs urgent review.,Public Events,Event Coordination Issues,Low
I saw a small problem in the event coordination issues Needs attention.,Public Events,Event Coordination Issues,Medium
There is an issue with the event coordination issues Not working as it should.,Public Events,Event Coordination Issues,Critical
Event Coordination Issues has minor problems Needs quick inspection.,Public Events,Event Coordination Issues,Low
I saw a small problem in the event coordination issues Needs urgent review.,Public Events,Event Coordination Issues,Medium
The event coordination issues needs attention Might be dangerous.,Public Events,Event Coordination Issues,Critical
Event Coordination Issues is not functioning well Urgent check needed.,Public Events,Event Coordination Issues,Medium
Event Coordination Issues is not functioning well Can someone check?,Public Events,Event Coordination Issues,Critical
Event Coordination Issues seems broken Urgent check needed.,Public Events,Event Coordination Issues,Medium
Something isn't right with the event coordination issues Not working as it should.,Public Events,Event Coordination Issues,Critical
The event coordination issues is not working Needs attention.,Public Events,Event Coordination Issues,Critical
Event Coordination Issues is slightly malfunctioning,Public Events,Event Coordination Issues,Low
Something isn't right with the event coordination issues Urgent check needed.,Public Events,Event Coordination Issues,Medium
Reported a minor issue in event coordination issues Urgent check needed.,Public Events,Event Coordination Issues,Medium
I saw a small problem in the event coordination issues Needs quick inspection.,Public Events,Event Coordination Issues,High
Event Coordination Issues has minor problems Can someone check?,Public Events,Event Coordination Issues,Low
The event coordination issues needs attention Please fix it.,Public Events,Event Coordination Issues,High
There is an issue with the event coordination issues Can someone check?,Public Events,Event Coordination Issues,Critical
Event Coordination Issues is not functioning well.,Public Events,Event Coordination Issues,High
Something isn't right with the event coordination issues.,Public Events,Event Coordination Issues,Low
Event Coordination Issues seems broken Needs urgent review.,Public Events,Event Coordination Issues,Low
Event Coordination Issues is not functioning well Please fix it.,Public Events,Event Coordination Issues,High
Event Coordination Issues seems broken Might be dangerous.,Public Events,Event Coordination Issues,High
The event coordination issues needs attention Needs urgent review.,Public Events,Event Coordination Issues,High
Reported a minor issue in event coordination issues Might be dangerous.,Public Events,Event Coordination Issues,Critical
Reported a minor issue in event coordination issues Needs quick inspection.,Public Events,Event Coordination Issues,High
The event coordination issues needs attention,Public Events,Event Coordination Issues,Low
Event Coordination Issues seems broken Please fix it.,Public Events,Event Coordination Issues,High
Event Coordination Issues is slightly malfunctioning Urgent check needed.,Public Events,Event Coordination Issues,High
I saw a small problem in the event coordination issues Might be dangerous.,Public Events,Event Coordination Issues,Low
Event Coordination Issues is not functioning well,Public Events,Event Coordination Issues,High
Something isn't right with the event coordination issues Please fix it.,Public Events,Event Coordination Issues,High
Event Coordination Issues has minor problems Not working as it should.,Public Events,Event Coordination Issues,Medium
Reported a minor issue in event coordination issues Needs attention.,Public Events,Event Coordination Issues,Critical
Event Coordination Issues seems broken Not working as it should.,Public Events,Event Coordination Issues,Critical
Reported a minor issue in event coordination issues,Public Events,Event Coordination Issues,Low
The event coordination issues is not working Urgent check needed.,Public Events,Event Coordination Issues,Low
Event Coordination Issues is not functioning well Needs quick inspection.,Public Events,Event Coordination Issues,High
Reported a minor issue in event coordination issues Not working as it should.,Public Events,Event Coordination Issues,High
Something isn't right with the event coordination issues Might be dangerous.,Public Events,Event Coordination Issues,Low
Something isn't right with the event coordination issues Can someone check?,Public Events,Event Coordination Issues,High
Something isn't right with the event coordination issues,Public Events,Event Coordination Issues,High
Event Coordination Issues is slightly malfunctioning.,Public Events,Event Coordination Issues,Low
Event Coordination Issues seems broken Needs attention.,Public Events,Event Coordination Issues,Medium
Something isn't right with the event coordination issues Needs urgent review.,Public Events,Event Coordination Issues,Low
I saw a small problem in the event coordination issues Can someone check?,Public Events,Event Coordination Issues,Medium
Event Coordination Issues has minor problems Urgent check needed.,Public Events,Event Coordination Issues,High
There is an issue with the event coordination issues Needs urgent review.,Public Events,Event Coordination Issues,High
There is an issue with the event coordination issues.,Public Events,Event Coordination Issues,Medium
Event Coordination Issues has minor problems Needs urgent review.,Public Events,Event Coordination Issues,Medium
Event Coordination Issues has minor problems.,Public Events,Event Coordination Issues,Critical
Event Coordination Issues is slightly malfunctioning Please fix it.,Public Events,Event Coordination Issues,Low
Event Coordination Issues is slightly malfunctioning Can someone check?,Public Events,Event Coordination Issues,Low
The event coordination issues needs attention.,Public Events,Event Coordination Issues,Medium
There is an issue with the event coordination issues Needs quick inspection.,Public Events,Event Coordination Issues,High
The event coordination issues is not working Needs urgent review.,Public Events,Event Coordination Issues,Medium
Reported a minor issue in event coordination issues Can someone check?,Public Events,Event Coordination Issues,Critical
The event coordination issues is not working,Public Events,Event Coordination Issues,High
I saw a small problem in the event coordination issues Urgent check needed.,Public Events,Event Coordination Issues,Low
Reported a minor issue in event coordination issues.,Public Events,Event Coordination Issues,Critical
The event coordination issues needs attention Not working as it should.,Public Events,Event Coordination Issues,Critical
I saw a small problem in the event coordination issues Please fix it.,Public Events,Event Coordination Issues,Medium
The event coordination issues is not working Might be dangerous.,Public Events,Event Coordination Issues,Low
I saw a small problem in the noise complaints related to events,Public Events,Noise Complaints Related to Events,Low
Something isn't right with the noise complaints related to events Needs attention.,Public Events,Noise Complaints Related to Events,Low
Something isn't right with the noise complaints related to events Urgent check needed.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events is slightly malfunctioning.,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events seems broken Not working as it should.,Public Events,Noise Complaints Related to Events,Low
Something isn't right with the noise complaints related to events.,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events is slightly malfunctioning Needs urgent review.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events seems broken Needs urgent review.,Public Events,Noise Complaints Related to Events,High
Noise Complaints Related to Events is slightly malfunctioning Might be dangerous.,Public Events,Noise Complaints Related to Events,Critical
The noise complaints related to events is not working Needs quick inspection.,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events is not working Needs attention.,Public Events,Noise Complaints Related to Events,Low
Reported a minor issue in noise complaints related to events Might be dangerous.,Public Events,Noise Complaints Related to Events,Medium
Noise Complaints Related to Events has minor problems.,Public Events,Noise Complaints Related to Events,Critical
I saw a small problem in the noise complaints related to events Needs quick inspection.,Public Events,Noise Complaints Related to Events,High
Something isn't right with the noise complaints related to events Needs urgent review.,Public Events,Noise Complaints Related to Events,Critical
I saw a small problem in the noise complaints related to events.,Public Events,Noise Complaints Related to Events,Low
The noise complaints related to events is not working Urgent check needed.,Public Events,Noise Complaints Related to Events,Critical
I saw a small problem in the noise complaints related to events Urgent check needed.,Public Events,Noise Complaints Related to Events,Critical
Reported a minor issue in noise complaints related to events Urgent check needed.,Public Events,Noise Complaints Related to Events,High
Something isn't right with the noise complaints related to events,Public Events,Noise Complaints Related to Events,Critical
Something isn't right with the noise complaints related to events Not working as it should.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events is not functioning well Might be dangerous.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events has minor problems Urgent check needed.,Public Events,Noise Complaints Related to Events,High
I saw a small problem in the noise complaints related to events Needs urgent review.,Public Events,Noise Complaints Related to Events,High
Noise Complaints Related to Events has minor problems Needs quick inspection.,Public Events,Noise Complaints Related to Events,Medium
The noise complaints related to events needs attention,Public Events,Noise Complaints Related to Events,Low
Reported a minor issue in noise complaints related to events Can someone check?,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events needs attention Needs quick inspection.,Public Events,Noise Complaints Related to Events,Critical
Something isn't right with the noise complaints related to events Please fix it.,Public Events,Noise Complaints Related to Events,Critical
There is an issue with the noise complaints related to events Urgent check needed.,Public Events,Noise Complaints Related to Events,High
Noise Complaints Related to Events is slightly malfunctioning Needs attention.,Public Events,Noise Complaints Related to Events,Medium
Noise Complaints Related to Events seems broken Urgent check needed.,Public Events,Noise Complaints Related to Events,High
Noise Complaints Related to Events is not functioning well,Public Events,Noise Complaints Related to Events,Medium
The noise complaints related to events needs attention Urgent check needed.,Public Events,Noise Complaints Related to Events,Low
I saw a small problem in the noise complaints related to events Please fix it.,Public Events,Noise Complaints Related to Events,Medium
Reported a minor issue in noise complaints related to events Needs quick inspection.,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events is slightly malfunctioning,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events is not functioning well.,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events is not working Can someone check?,Public Events,Noise Complaints Related to Events,Medium
There is an issue with the noise complaints related to events Needs quick inspection.,Public Events,Noise Complaints Related to Events,Critical
Something isn't right with the noise complaints related to events Needs quick inspection.,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events is not working Might be dangerous.,Public Events,Noise Complaints Related to Events,Critical
I saw a small problem in the noise complaints related to events Might be dangerous.,Public Events,Noise Complaints Related to Events,Medium
There is an issue with the noise complaints related to events Needs attention.,Public Events,Noise Complaints Related to Events,Medium
There is an issue with the noise complaints related to events Please fix it.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events has minor problems,Public Events,Noise Complaints Related to Events,Critical
There is an issue with the noise complaints related to events,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events needs attention Needs attention.,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events is not working.,Public Events,Noise Complaints Related to Events,Medium
Reported a minor issue in noise complaints related to events Not working as it should.,Public Events,Noise Complaints Related to Events,Low
Reported a minor issue in noise complaints related to events Needs attention.,Public Events,Noise Complaints Related to Events,High
Reported a minor issue in noise complaints related to events.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events seems broken,Public Events,Noise Complaints Related to Events,Critical
